korean,english
그렇게 하자. 원래 숙소에 짐을 놓고 밥을 먹기로 했는데 밥부터 먹고 숙소로 가야 할 것 같아.,Let's do that. We planned to put our bags in our lodging and go eat but I think we need to eat and then go to our lodgings.
가족이랑 다같이 저녁 먹으며 축하해줬어.,I celebrated with my family while eating dinner.
나도 다시 이집트에서 너와 너희 가족 들을 만나고 싶어.,I'd love to meet your family and you again In Egypt.
내가 먹은 음식은 목살 스테이크와 까르보나라이에요.,The food I ate was pork chop steak and carbonara.
모래내 시장에서는 어떤 장면이 촬영 되었나요?,What kind of scenes were taken in Moranae market?
이제 나는 원어민 수업을 받지 않아.,I don't take native english class any more.
지금 남아있는 종이컵이 없는데 혹시 입구 쪽에 있는 정수기를 이용해 주시겠어요? ,"There is none left at the moment. Could you use the machine by the entrance, instead?"
그는 이번 학기 까지만 공부하고 한국으로 돌아 갈 것이에요.,He will study until this semester and go back to Korea.
그만큼 2학기 개강도 빠르게 다가오겠지?,"The second semester will come just as quickly, you know?"
일러스트레이션 작업은 주특기가 아니기때문이예요.,It is because illustration work is not my specialty.
